,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
689668,A3DVYJGU3SIKLC,B00005YU1M,,"[0, 0]",Not as interesting as I thought.,2,Two Stars,1405382400,"07 15, 2014",2014,32,"['Not', 'as', 'interesting', 'thought']",Monster's Ball
689669,A2E1EFNIZL2FVA,B00005YU1M,&#9899;   RIZZO   &#9899;,"[10, 14]","The problem with having box-office stars (in this case Halle Berry) as leading characters is that often they are miscast or simply don't do justice to the role. Halle Berry should not have been in this movie, simply because we know her tooo well as the beautiful, half-white, Halle.  We, the viewers, cannot get past that she is Halle, and her acting is not as profound to convince us otherwise.  Sorry.Billy Bob, however is excellent in which ever role he stars in.  He is gifted, although he deserves roles that can truly bring out his ability to depict memorable characters; this role was simple.Don't even ask WHY she won an academy award.  Was it for that overexaggerated nude sex scene where she practically rapes Billy Bob???  Or maybe it was her OTHER scene where she attacks her obese son.What was excellent in this movie was the soundscore!  The music was eerie, and appropo to the scenes.  In the DVD is an explanation of how instruments were used.Also on the DVD is ""Deleted Scenes.""  Why do DVD producers put in deleted scenes???  They confuse the issue.And the best part about a DVD collection is commentary!  This is always important, to have good commentary!Simple plot:  a black woman falls in love with a racist ex-prison guard who participated in her husband's deathrow execution.  Peter Boyle whose most recent fame is ""Everybody Loves Raymond"" plays his also racist ex-prison guard aging father.  Simple.  Nothing else happens! That's it!.......Rizzo",2,Halle SEDUCES Billy Bob!!,1118793600,"06 15, 2005",2005,1471,"['problem', 'having', 'box-office', 'stars', 'case', 'Halle', 'Berry', 'leading', 'characters', 'often', 'are', 'miscast', 'simply', 'do', ""n't"", 'do', 'justice', 'role', 'Halle', 'Berry', 'should', 'not', 'have', 'been', 'movie', 'simply', 'know', 'tooo', 'well', 'beautiful', 'half-white', 'Halle', 'viewers', 'can', 'not', 'get', 'Halle', 'acting', 'not', 'as', 'profound', 'convince', 'otherwise', 'Sorry.Billy', 'Bob', 'however', 'excellent', 'ever', 'role', 'gifted', 'roles', 'can', 'truly', 'bring', 'out', 'ability', 'depict', 'memorable', 'characters', 'role', 'was', 'simple.Do', ""n't"", 'even', 'ask', 'WHY', 'won', 'academy', 'award', 'Was', 'overexaggerated', 'nude', 'sex', 'scene', 'where', 'practically', 'Billy', 'Bob', 'maybe', 'was', 'OTHER', 'scene', 'where', 'obese', 'son.What', 'was', 'excellent', 'movie', 'was', 'soundscore', 'music', 'was', 'eerie', 'appropo', 'scenes', 'DVD', 'explanation', 'how', 'instruments', 'were', 'used.Also', 'DVD', 'Deleted', 'Scenes', 'Why', 'do', 'DVD', 'producers', 'put', 'deleted', 'scenes', 'confuse', 'issue.And', 'best', 'part', 'DVD', 'collection', 'commentary', 'always', 'important', 'have', 'good', 'commentary', 'Simple', 'plot', 'black', 'woman', 'love', 'racist', 'ex-prison', 'guard', 'who', 'participated', 'husband', 'deathrow', 'execution', 'Peter', 'Boyle', 'most', 'recent', 'fame', 'Everybody', 'Raymond', 'also', 'racist', 'ex-prison', 'guard', 'aging', 'father', 'Simple', 'Nothing', 'else', '.Rizzo']",Monster's Ball
689670,A3D5DLDBAF7WA3,B00005YU1M,AD,"[0, 0]","Well to be honest, this just isn't my kind of movie. I expected better from the stars in it, but yet was disappointed.",3,Ho Hum,1368489600,"05 14, 2013",2013,118,"['Well', 'be', 'honest', 'just', ""n't"", 'kind', 'movie', 'expected', 'better', 'stars', 'yet', 'was', 'disappointed']",Monster's Ball
689671,AMP7TQRWAIE84,B00005YU1M,"Adrian Cooper ""That Guy from Venus. :D""","[0, 2]","It was OK. There were racial slurs against blacks in it and abuse, mental and physical in this movie. Halle Berry played a strong but abusive mother, who treated her kid like he was an evil step child half the time. Billy Bob Thorton lived an empty life and was the cause of his son's death.With the guilt of that, and Halle's son dying, they both created a comfort space for each other. They talked, related a bit and had sex (it was Halle's idea).The story drags on in parts though because you see Billy driving his car to certain destinations and it takes forever. Towards the end I was wishing that the movie would end. It did.3.2 stars.end note: Is this the kind of movie you can watch more than once? Not in my opinion, no.",3,Monster's Ball - Take One,1221523200,"09 16, 2008",2008,729,"['was', 'OK', 'were', 'racial', 'slurs', 'blacks', 'abuse', 'mental', 'physical', 'movie', 'Halle', 'Berry', 'played', 'strong', 'abusive', 'mother', 'who', 'treated', 'kid', 'was', 'evil', 'step', 'child', 'time', 'Billy', 'Bob', 'Thorton', 'lived', 'empty', 'life', 'was', 'cause', 'son', 'death.With', 'guilt', 'Halle', 'son', 'dying', 'created', 'comfort', 'space', 'other', 'talked', 'related', 'bit', 'had', 'sex', 'was', 'Halle', 'idea', 'story', 'drags', 'parts', 'see', 'Billy', 'driving', 'car', 'certain', 'destinations', 'forever', 'end', 'was', 'wishing', 'movie', 'would', 'end', 'did.3.2', 'stars.end', 'note', 'kind', 'movie', 'can', 'watch', 'more', 'once', 'Not', 'opinion']",Monster's Ball
689672,AK2Q7ML2RANDN,B00005YU1M,A. Eby,"[2, 2]","The performances are the showcase of director Marc Forster's acclaimed ""Monster's Ball"".  Billy Bob Thorton contributes a quiet, near-perfect performance as Hank, a grieving angry police officer living with his racist father (a fine Peter Boyle) and troubled son (Heath Ledger in an electrifying turn).  Halle Berry won an Oscar for her role as Leticia, the widow of a man (Sean Combs) executed on death row by Hank.  Through a series of tragic circumstances, the two come together and find they need each other.  ""Monster's Ball"" is stark, grim, and never very pleasant, but the beautiful acting and competent direction make for a worthwhile viewing.",5,A stark gem,1024876800,"06 24, 2002",2002,651,"['performances', 'are', 'showcase', 'director', 'Marc', 'Forster', 'acclaimed', 'Monster', 'Ball', 'Billy', 'Bob', 'Thorton', 'quiet', 'near-perfect', 'performance', 'Hank', 'grieving', 'angry', 'police', 'officer', 'living', 'racist', 'father', 'fine', 'Peter', 'Boyle', 'troubled', 'son', 'Heath', 'Ledger', 'electrifying', 'turn', 'Halle', 'Berry', 'won', 'Oscar', 'role', 'Leticia', 'widow', 'man', 'Sean', 'Combs', 'executed', 'death', 'row', 'Hank', 'series', 'tragic', 'circumstances', 'two', 'come', 'together', 'find', 'need', 'other', 'Monster', 'Ball', 'stark', 'grim', 'never', 'very', 'pleasant', 'beautiful', 'acting', 'competent', 'direction', 'make', 'worthwhile', 'viewing']",Monster's Ball
689673,A1CSAQIKIG6EUZ,B00005YU1M,"A. Keshi ""SofistaFunK""","[7, 16]","I luv halle berry, infact, she's one of my favourite actors. In this film her character is more than convincing.However, I just think the film drags and hasn't got a real climax or that 'something' in a film that makes you have some kinda deep reaction that lasts for about 3 scenes. the deathrow scene and the sex scene are reaction-jerkers, but that reaction only lasts for a little while cos of the bland scenes to follow. I can't even be bothered to wrtite this review...infact, i'm boring myself so i'm gonna wrap it up.This film was borrrring..snorrrrrrrr!Ps. the fat boy's the star of this movie!",2,Dissapointinggggggg!,1109721600,"03 2, 2005",2005,603,"['luv', 'halle', 'berry', 'infact', 'one', 'favourite', 'actors', 'film', 'character', 'more', 'convincing.However', 'just', 'think', 'film', 'drags', ""n't"", 'got', 'real', 'climax', ""'something"", 'film', 'have', 'kinda', 'deep', 'reaction', '3', 'scenes', 'deathrow', 'scene', 'sex', 'scene', 'are', 'reaction-jerkers', 'reaction', 'only', 'little', 'cos', 'bland', 'scenes', 'follow', 'ca', ""n't"", 'even', 'be', 'bothered', 'wrtite', 'review', 'infact', 'i', ""'m"", 'boring', 'i', ""'m"", 'gon', 'wrap', 'up.This', 'film', 'was', 'borrrring..snorrrrrrrr', 'Ps', 'fat', 'boy', 'star', 'movie']",Monster's Ball
689674,A3PED9LFXM75A3,B00005YU1M,allcanadianguy,"[0, 1]",Monster's Ball (2001)Who would like this? : romantic &amp; psychological drama fansWorth seeing?...-buy it  : yes-rent it  : yesCast:Billy Bob ThorntonHalle BerryHeath LedgerPeter BoyleSean &quot;Puffy&quot; CombsMos Def___________________Marc ForsterDirector* Do not miss the performances from both Billy Bob Thornton andHalle Berry. The people who don't get into movies like this may have become dumb &amp; numb from watching part 4 of their favorite action series too many times.,4,allcanadianguy@shaw reviews * * * *,1050624000,"04 18, 2003",2003,482,"['Monster', 'Ball', '2001', 'Who', 'would', 'like', 'romantic', 'amp', 'psychological', 'drama', 'fansWorth', 'seeing', 'yes-rent', 'yesCast', 'Billy', 'Bob', 'ThorntonHalle', 'BerryHeath', 'LedgerPeter', 'BoyleSean', 'quot', 'Puffy', 'quot', 'CombsMos', 'Def___________________Marc', 'ForsterDirector*', 'Do', 'not', 'miss', 'performances', 'Billy', 'Bob', 'Thornton', 'andHalle', 'Berry', 'people', 'who', 'do', ""n't"", 'get', 'movies', 'may', 'have', 'become', 'dumb', 'amp', 'watching', 'part', '4', 'favorite', 'action', 'series', 'too', 'many', 'times']",Monster's Ball
689675,A2YRSGEL0NO8S3,B00005YU1M,Amador Marty,"[6, 7]","I went to see this film after Halle won her Academy Award. I was not sure what to expect because outside of the few reviews I had read, I did not know much about the film. It is one of those films that moves slowly but has a lot to say. Halle is completely deglamed in this movie so you can concentrate on her performance and not her gorgeous face. And what a performance it is! She is nothing short of superb and shows why she took that little man home Oscar night. Anyone that has been following Halle's career should not be shocked. From her first role in Jungle Fever to Introducing Dorothy Dandridge, Halle has shown why her star shines. I would be remiss if I did not mention the other superb performance in this film, Billy Bob Thornton. I thought he was great and should also have been singled out. There is also nice work from Sean ""Puffy"" Combs in a beautifully understated role, Peter Doyle and Heath Ledger. This is a great film!",5,MESMERIZING HALLE,1020124800,"04 30, 2002",2002,941,"['went', 'see', 'film', 'Halle', 'won', 'Academy', 'Award', 'was', 'not', 'sure', 'what', 'expect', 'outside', 'few', 'reviews', 'had', 'read', 'did', 'not', 'know', 'much', 'film', 'one', 'films', 'slowly', 'lot', 'say', 'Halle', 'completely', 'deglamed', 'movie', 'can', 'concentrate', 'performance', 'not', 'gorgeous', 'face', 'what', 'performance', 'nothing', 'short', 'superb', 'why', 'took', 'little', 'man', 'home', 'Oscar', 'night', 'Anyone', 'been', 'following', 'Halle', 'career', 'should', 'not', 'be', 'shocked', 'first', 'role', 'Jungle', 'Fever', 'Introducing', 'Dorothy', 'Dandridge', 'Halle', 'shown', 'why', 'star', 'shines', 'would', 'be', 'remiss', 'did', 'not', 'mention', 'other', 'superb', 'performance', 'film', 'Billy', 'Bob', 'Thornton', 'thought', 'was', 'great', 'should', 'also', 'have', 'been', 'singled', 'out', 'also', 'nice', 'work', 'Sean', 'Puffy', 'Combs', 'beautifully', 'understated', 'role', 'Peter', 'Doyle', 'Heath', 'Ledger', 'great', 'film']",Monster's Ball
689676,A2THVOMJZ9KR8W,B00005YU1M,"Amazon Customer ""lovestoshop""","[4, 6]","Hail Halle!  Not only does she continue to redefine beauty, she redefines acting in her portrayal of a woman at a crossroads.While the film focuses mostly on one man's struggle with the life assigned him and his relationship with his father and son, Halle's character, Leticia, must deal with her own heartache.  She finds herself redefining who she after a two significant losses in her life.When life deals her a very heavy blow she turns to a man who was kind to her and an intense relationship begins.  While the editorial review speaks of the loss of children - it is how those deaths happen that bring about the bond.  It's an exquisitely written film, expertly directed, and beautifully acted by all!  Heath Ledger (one of my favorites) turns in a great performance (while I loved him in A Knights Tale, I didn't think he had it in him and now I am hooked!...) as Hank's son and the dynamic intensity between them leaves you bewildered and angry too.This is a movie well worth watching.  If you are Billy Bob Thorton fan - you will not be disappointed.  If you are a Halle Berry fan -  you will be stunned to see the depth with which she potray's such loss and pain.  I knew she had it in her!  She is destined for great and wonderful things and I look forward to her winning her next Oscar!",5,Did she deserve the Oscar?  You Betcha!...,1031356800,"09 7, 2002",2002,1298,"['Hail', 'Halle', 'Not', 'only', 'continue', 'redefine', 'beauty', 'acting', 'portrayal', 'woman', 'crossroads.While', 'film', 'mostly', 'one', 'man', 'struggle', 'life', 'assigned', 'relationship', 'father', 'son', 'Halle', 'character', 'Leticia', 'must', 'deal', 'own', 'heartache', 'redefining', 'who', 'two', 'significant', 'losses', 'life.When', 'life', 'very', 'heavy', 'blow', 'man', 'who', 'was', 'kind', 'intense', 'relationship', 'editorial', 'review', 'speaks', 'loss', 'children', 'how', 'deaths', 'happen', 'bring', 'bond', 'exquisitely', 'written', 'film', 'expertly', 'directed', 'beautifully', 'acted', 'Heath', 'Ledger', 'one', 'favorites', 'great', 'performance', 'loved', 'A', 'Knights', 'Tale', 'did', ""n't"", 'think', 'had', 'now', 'am', 'hooked', 'Hank', 'son', 'dynamic', 'intensity', 'bewildered', 'angry', 'too.This', 'movie', 'well', 'worth', 'watching', 'are', 'Billy', 'Bob', 'Thorton', 'fan', 'will', 'not', 'be', 'disappointed', 'are', 'Halle', 'Berry', 'fan', 'will', 'be', 'stunned', 'see', 'depth', 'potray', 'such', 'loss', 'pain', 'knew', 'had', 'destined', 'great', 'wonderful', 'things', 'look', 'forward', 'winning', 'next', 'Oscar']",Monster's Ball
689677,A17EI3IZ7L4RQG,B00005YU1M,Andrea,"[11, 18]","This movie is totally overrated to me. Not worth watching more than once. Not even Oscar worthy. The only reason why this movie was a big deal and the reason why Halle Barry won an Oscar is because of the explicit sex scene between Halle Berry and Billy Bob Thornton.I have to say I am really dissapointed in Halle Berry for doing that unnecessary sex scene. They did not have to go that far to get the point across. I haven't respected her the same since. Most women starting out in their acting careers do scenes like that to get ahead. Halle Berry was already well established and respected. She didn't need to do that kind of a scene.Besides that one scene, the reason I didn't really care for this movie is because I felt that the characters were not well established. I did not feel a connection with them. Also I thought Halle Berry's acting was not that great or believable. I felt she overacted. There were only two characters in the movie that interested me and that was the husband on death row played by Sean Combs and the neighbor with the boys played by Mos Def. They were interesting enough to me where I wanted to know more about their characters.",2,OVERRATED,1138147200,"01 25, 2006",2006,1163,"['movie', 'totally', 'overrated', 'Not', 'worth', 'watching', 'more', 'once', 'Not', 'even', 'Oscar', 'worthy', 'only', 'reason', 'why', 'movie', 'was', 'big', 'deal', 'reason', 'why', 'Halle', 'Barry', 'won', 'Oscar', 'explicit', 'sex', 'scene', 'Halle', 'Berry', 'Billy', 'Bob', 'Thornton.I', 'have', 'say', 'am', 'really', 'dissapointed', 'Halle', 'Berry', 'doing', 'unnecessary', 'sex', 'scene', 'did', 'not', 'have', 'go', 'far', 'get', 'point', 'have', ""n't"", 'respected', 'same', 'Most', 'women', 'starting', 'out', 'acting', 'careers', 'do', 'scenes', 'get', 'ahead', 'Halle', 'Berry', 'was', 'already', 'well', 'established', 'respected', 'did', ""n't"", 'need', 'do', 'kind', 'scene.Besides', 'one', 'scene', 'reason', 'did', ""n't"", 'really', 'care', 'movie', 'felt', 'characters', 'were', 'not', 'well', 'established', 'did', 'not', 'feel', 'connection', 'Also', 'thought', 'Halle', 'Berry', 'acting', 'was', 'not', 'great', 'believable', 'felt', 'overacted', 'were', 'only', 'two', 'characters', 'movie', 'interested', 'was', 'husband', 'death', 'row', 'played', 'Sean', 'Combs', 'neighbor', 'boys', 'played', 'Mos', 'Def', 'were', 'interesting', 'enough', 'where', 'wanted', 'know', 'more', 'characters']",Monster's Ball
