,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
882737,A2E1EFNIZL2FVA,B0007M2374,&#9899;   RIZZO   &#9899;,"[2, 16]","Seriously, if you have a pair of night vision goggles, you will need them, as so much of this lengthy, fast paced Korean movie is filmed in the dark, often very very dark.  If I could see what was happening, I would be able to tell one about it.The film is based as a Korean ghost story, and for one, I am not into ghost stories.  It can be very confusing as to what is the essence of a ghost or what is reality.  Supposedly, with two sisters who go back to their father's house and are met by a step-mother, but one sister is already dead before we realize it. It is bloody, violent, and just plain weird.There is just way too much going on for anyone to grasp the storyline, determine who is who, what is what and why is why?  To me, it is a mess of a film.  And if you can see it in the dark, you still won't know what is happening......Rizzo",1,Get out your night vision goggles for this one...,1343260800,"07 26, 2012",2012,845,"['Seriously', 'have', 'pair', 'night', 'vision', 'goggles', 'will', 'need', 'so', 'much', 'lengthy', 'fast', 'paced', 'Korean', 'movie', 'filmed', 'dark', 'often', 'very', 'very', 'dark', 'could', 'see', 'what', 'was', 'happening', 'would', 'be', 'able', 'tell', 'one', 'it.The', 'film', 'based', 'Korean', 'ghost', 'story', 'one', 'am', 'not', 'ghost', 'stories', 'can', 'be', 'very', 'confusing', 'what', 'essence', 'ghost', 'what', 'reality', 'Supposedly', 'two', 'sisters', 'who', 'go', 'back', 'father', 'house', 'are', 'met', 'step-mother', 'one', 'sister', 'already', 'dead', 'realize', 'bloody', 'violent', 'just', 'plain', 'weird.There', 'just', 'way', 'too', 'much', 'going', 'anyone', 'grasp', 'storyline', 'determine', 'who', 'who', 'what', 'what', 'why', 'why', 'mess', 'film', 'can', 'see', 'dark', 'still', 'wo', ""n't"", 'know', 'what', 'happening', 'Rizzo']",N/A
882738,A3PIPHWD45VOGI,B0007M2374,Ace-of-Stars,"[18, 24]","*The Korean folk tale of ""Rose and Lotus"" has as it's main antagonist that most ubiquitous of all mean-spirited people -- the fearsome & loathsome 'Wicked Step-Mother.' And, consistent with her international sisterhood, the hapless targets of her jealousy-induced maltreatment come in the form of step-'DAUGHTERS' whom she is now forced to accept as new additions to her ""family"" and as new responsibilities in what would normally be her happy & comfortable life.But unlike their Western counterparts, nasty stepmoms in Asian fables tend to be in existing MARITAL RELATIONSHIPS with the fathers of their step-daughters. It is this aspect of the original fable of ""Rose and Lotus"" that makes the story so intense. This is likely the reason why the filmmakers chose to name this film (marketed under the English language title, ""A TALE OF TWO SISTERS"") after that classic Korean tale: ""JANGHWA, HONGRYEON.""Bearing little resemblance to the original story of ""Janghwa & Hongryeon""-- except for the abusive conniving stepmother, the sister pair of who must endure her obvious dislike of having them around, and the weak clueless father --this movie is more of (for lack of a better description) a ""psychological thriller ghost story."" This movie cuts across genres to create a rather unique, and rather involving, piece of film entertainment -- so much so that it is next to impossible to reveal anything about the movie and not run the risk of revealing too much.Our 'stepmom' in the story is a (former? current?) nurse who appears to be ""certifiable,"" if you know what I mean, and it makes the viewer wonder what in the world ""Dad"" could have possibly seen in this woman that would make him want to dissolve his marriage to his children's mother (a reserved, quiet, almost invisible woman) in favor of a borderline straightjacket case. We are not given any explanation as to why ""Dr. Dad"" chose to end his marriage with his wife, but the cad could have at least had class enough to not to... well... I'll just have to let you see for yourself to understand and appreciate on your own. And the other two women in Dad's life-- his daughters Soo-Mi and Soo-Yeon (which I'm told also mean 'rose' and 'lotus' but I cannot yet confirm this) --are none too happy about his decision to ditch their beloved mom for the invading & imposing new hussy (but what can two young teenaged girls do about it?).The movie offers several shocking surprise revelations in big ways, so that once the first major and startling secret is revealed you expect that the film would soon begin wrapping itself up -- but then comes the next big reveal -- then the next -- then the next! So all the while, as you thought the story simply couldn't drag out the drama any more, the climaxes come fast & furious one on top of the other! Granted, they are still relatively mellow by Western standards, but they are not intended to get your adrenaline pumping: they are intended to put your brain in gear and have you do some mental sleuthing, which is one of the beauties of this film -- combining tense scenes and a few scares with thought-provoking analysis!The cover imagery used is very misleading (don't go looking for a lot of blood & splatter, because there isn't any), but if you appreciate movies that can manipulate your fears while at the same time forcing you to think & draw some of your own conclusions (because not everything is 'tidied-up' at the end, but leaves just enough for the viewers to play around with), then this is a film that will appeal to you. Enjoy!",4,"Even ""Asian"" Step-Mothers Are ""Wicked"" :)",1109030400,"02 22, 2005",2005,3543,"['*The', 'Korean', 'folk', 'tale', 'Rose', 'Lotus', 'main', 'antagonist', 'most', 'ubiquitous', 'mean-spirited', 'people', 'fearsome', 'loathsome', ""'Wicked"", 'Step-Mother', 'consistent', 'international', 'sisterhood', 'hapless', 'targets', 'jealousy-induced', 'maltreatment', 'come', 'form', ""step-'DAUGHTERS"", 'whom', 'now', 'forced', 'accept', 'new', 'additions', 'family', 'new', 'responsibilities', 'what', 'would', 'normally', 'be', 'happy', 'comfortable', 'life.But', 'Western', 'counterparts', 'nasty', 'stepmoms', 'Asian', 'fables', 'tend', 'be', 'existing', 'MARITAL', 'RELATIONSHIPS', 'fathers', 'step-daughters', 'aspect', 'original', 'fable', 'Rose', 'Lotus', 'story', 'so', 'intense', 'likely', 'reason', 'why', 'filmmakers', 'chose', 'name', 'film', 'marketed', 'English', 'language', 'title', 'TALE', 'OF', 'TWO', 'SISTERS', 'classic', 'Korean', 'tale', 'JANGHWA', 'HONGRYEON', 'Bearing', 'little', 'resemblance', 'original', 'story', 'Janghwa', 'Hongryeon', 'abusive', 'conniving', 'stepmother', 'sister', 'pair', 'who', 'must', 'endure', 'obvious', 'dislike', 'having', 'around', 'weak', 'clueless', 'father', 'movie', 'more', 'lack', 'better', 'description', 'psychological', 'thriller', 'ghost', 'story', 'movie', 'genres', 'create', 'rather', 'unique', 'rather', 'involving', 'piece', 'film', 'entertainment', 'so', 'much', 'next', 'impossible', 'reveal', 'anything', 'movie', 'not', 'run', 'risk', 'revealing', 'too', 'much.Our', ""'stepmom"", 'story', 'former', 'current', 'nurse', 'who', 'be', 'certifiable', 'know', 'what', 'mean', 'viewer', 'wonder', 'what', 'world', 'Dad', 'could', 'have', 'possibly', 'seen', 'woman', 'would', 'make', 'want', 'dissolve', 'marriage', 'children', 'mother', 'reserved', 'quiet', 'almost', 'invisible', 'woman', 'favor', 'borderline', 'straightjacket', 'case', 'are', 'not', 'given', 'explanation', 'why', 'Dr.', 'Dad', 'chose', 'end', 'marriage', 'wife', 'cad', 'could', 'have', 'least', 'had', 'class', 'enough', 'not', 'well', ""'ll"", 'just', 'have', 'let', 'see', 'understand', 'appreciate', 'own', 'other', 'two', 'women', 'Dad', 'life', 'daughters', 'Soo-Mi', 'Soo-Yeon', ""'m"", 'told', 'also', 'mean', ""'rose"", ""'lotus"", 'can', 'not', 'yet', 'confirm', 'are', 'none', 'too', 'happy', 'decision', 'ditch', 'beloved', 'mom', 'invading', 'imposing', 'new', 'hussy', 'what', 'can', 'two', 'young', 'teenaged', 'girls', 'do', '.The', 'movie', 'offers', 'several', 'shocking', 'surprise', 'revelations', 'big', 'ways', 'once', 'first', 'major', 'startling', 'secret', 'revealed', 'expect', 'film', 'would', 'soon', 'begin', 'wrapping', 'up', 'then', 'next', 'big', 'reveal', 'then', 'next', 'then', 'next', 'So', 'while', 'thought', 'story', 'simply', 'could', ""n't"", 'drag', 'out', 'drama', 'more', 'climaxes', 'come', 'fast', 'furious', 'one', 'top', 'other', 'Granted', 'are', 'still', 'relatively', 'mellow', 'Western', 'standards', 'are', 'not', 'intended', 'get', 'adrenaline', 'pumping', 'are', 'intended', 'put', 'brain', 'gear', 'have', 'do', 'mental', 'sleuthing', 'one', 'beauties', 'film', 'combining', 'tense', 'scenes', 'few', 'scares', 'thought-provoking', 'analysis', 'cover', 'imagery', 'used', 'very', 'misleading', 'do', ""n't"", 'go', 'looking', 'lot', 'blood', 'splatter', ""n't"", 'appreciate', 'movies', 'can', 'manipulate', 'fears', 'same', 'time', 'forcing', 'think', 'draw', 'own', 'conclusions', 'not', 'everything', ""'tidied-up"", 'end', 'just', 'enough', 'viewers', 'play', 'around', 'then', 'film', 'will', 'appeal', 'Enjoy']",N/A
882739,A7TSAJMUBGOBI,B0007M2374,"AkuumaX ""Akuuma""","[1, 2]","Usually I am pretty good at figure out most movies before they end.Quite a few times in the first 30 minutes.Especially American movies with notable exceptions and even foreign films.But this one, had me seriously wondering if I had missed something even though i paid very close attention.It was gripping and kept throwing curveballs.And then a certain part came and I said AHA! was another twist.I didnt get it to the very end.An exceptional film.This movie is why my collection consists of films which are either foreign or american sleepers. Because the big budget stuff, while fine to rent or catch in a theatre, isnt really intriguing enough for me to watch multiple times.Great stuff.",5,Mentally Stimulating,1217462400,"07 31, 2008",2008,691,"['Usually', 'am', 'pretty', 'good', 'figure', 'out', 'most', 'movies', 'end.Quite', 'few', 'times', 'first', '30', 'minutes.Especially', 'American', 'movies', 'notable', 'exceptions', 'even', 'foreign', 'films.But', 'one', 'had', 'seriously', 'wondering', 'had', 'missed', 'something', 'even', 'i', 'paid', 'very', 'close', 'attention.It', 'was', 'gripping', 'kept', 'throwing', 'curveballs.And', 'then', 'certain', 'part', 'came', 'said', 'AHA', 'was', 'twist.I', 'didnt', 'get', 'very', 'end.An', 'exceptional', 'film.This', 'movie', 'why', 'collection', 'films', 'are', 'foreign', 'american', 'sleepers', 'big', 'budget', 'stuff', 'fine', 'rent', 'catch', 'theatre', 'isnt', 'really', 'intriguing', 'enough', 'watch', 'multiple', 'times.Great', 'stuff']",N/A
882740,A3RTN9YPWMHZ4W,B0007M2374,Amazon Customer,"[2, 5]","If you're a fan of Asian horror, it doesn't get better than A Tale of Two Sisters.  The story is chilling and scary, the acting is wonderful, and the country house setting is exquisitely creepy.  I recommend this movie wholeheartedly, but here's the caveat: most Asian horror is an acquired taste for western viewers, and this is no exception.  If you are willing to invest the time to think about the story (I had to watch it twice to understand everything) then you'll be rewarded.  It's the kind of movie that will stay with you for years, and there's always a new detail to add to the scariness.A non-spoiler plot summary:  Su-Mi and her sister Su-Yeon come home to discover that they have a new stepmother; the beautiful and icy Eun-Joo isn't overly thrilled to have the girls around, and Su-Mi must protect her weaker little sister against Eun-Joo's casual cruelty.  The family home, deep in the countryside, is haunted by several ghosts and Su-Mi grows more and more frantic in her efforts to defeat the wicked stepmother and save Su-Yeon.  The last 15 minutes leave viewers reeling from revelation after revelation about what actually happened, and continues to happen, in the house.I know that a lot of viewers get frustrated with the jumble of non-linear events and I wish there was an easy way to explain the chronology without ruining the story.  There are several very good discussions floating around the internet, if you feel like you missed the point.And if this doesn't sound like a movie you'd like but you're interested in other Asian horror flicks, try Cello (also Korean) or the Eye (Hong Kong)--both great movies, but much more straightforward.",5,Best Asian horror...but an acquired taste,1191369600,"10 3, 2007",2007,1666,"[""'re"", 'fan', 'Asian', 'horror', ""n't"", 'get', 'better', 'Tale', 'Two', 'Sisters', 'story', 'chilling', 'scary', 'acting', 'wonderful', 'country', 'house', 'setting', 'exquisitely', 'creepy', 'recommend', 'movie', 'wholeheartedly', 'here', 'caveat', 'most', 'Asian', 'horror', 'acquired', 'taste', 'western', 'viewers', 'exception', 'are', 'willing', 'invest', 'time', 'think', 'story', 'had', 'watch', 'twice', 'understand', 'everything', 'then', ""'ll"", 'be', 'rewarded', 'kind', 'movie', 'will', 'stay', 'years', 'always', 'new', 'detail', 'add', 'scariness.A', 'non-spoiler', 'plot', 'summary', 'Su-Mi', 'sister', 'Su-Yeon', 'come', 'home', 'discover', 'have', 'new', 'stepmother', 'beautiful', 'icy', 'Eun-Joo', ""n't"", 'overly', 'thrilled', 'have', 'girls', 'Su-Mi', 'must', 'protect', 'weaker', 'little', 'sister', 'Eun-Joo', 'casual', 'cruelty', 'family', 'home', 'deep', 'countryside', 'haunted', 'several', 'ghosts', 'Su-Mi', 'grows', 'more', 'more', 'frantic', 'efforts', 'defeat', 'wicked', 'stepmother', 'save', 'Su-Yeon', 'last', '15', 'minutes', 'leave', 'viewers', 'reeling', 'revelation', 'revelation', 'what', 'actually', 'happened', 'happen', 'house.I', 'know', 'lot', 'viewers', 'get', 'frustrated', 'jumble', 'non-linear', 'events', 'wish', 'was', 'easy', 'way', 'explain', 'chronology', 'ruining', 'story', 'are', 'several', 'very', 'good', 'discussions', 'floating', 'internet', 'feel', 'missed', 'point.And', ""n't"", 'sound', 'movie', ""'d"", 'like', ""'re"", 'interested', 'other', 'Asian', 'horror', 'flicks', 'try', 'Cello', 'also', 'Korean', 'Eye', 'Hong', 'Kong', 'great', 'movies', 'much', 'more', 'straightforward']",N/A
882741,A1PY6SJT8UHL92,B0007M2374,Amazon Customer,"[6, 8]","This is one of the best movies I have seen in (my) recent memories, in any genre/language. It defies categorization, and it is certainly not what you want to watch if you are looking for a night of light horror-splatter entertainment. The movie, though, IS creepy. Indeed, it's one of the creepiest movies I ever saw, probably beaten only by Alien, Carpenter's The Thing, and a few others.Acting is superb, and the two ""sisters"", young as they are, are incredibly believable in their roles. The performance of Yeom Jeong-ah, who plays the ""evil"" stepmother, is incredible as well. The director and screenwriter, in my humble opinion, is a genius. This is not a movie that you want to rent in  videocassette. The cinematography is SUPERB, and you NEED to watch this movie on a good screen, without lights on. Not because the movie is scary, but because light and color are used masterfully, and you do not want to miss a detail.One astonishing aspect of this masterpiece is the use of color. With few rare (green) exceptions, blue and red are the vastly dominant colors. The colors, indeed, seem to be one of the major characters in the story.Last but not least, as many other reviewers have pointed out, this is not your typical ""horror"" movie with ghosts & monsters. This is as much about ghosts as about the way the human mind copes with inconceivable tragedies. Indeed, different viewers will probably disagree on the true meaning of the conclusion. This is a movie to be studied. Highly highly recommended.",5,A masterpiece,1137801600,"01 21, 2006",2006,1510,"['one', 'best', 'movies', 'have', 'seen', 'recent', 'memories', 'genre/language', 'categorization', 'certainly', 'not', 'what', 'want', 'watch', 'are', 'looking', 'night', 'light', 'horror-splatter', 'entertainment', 'movie', 'IS', 'creepy', 'Indeed', 'one', 'creepiest', 'movies', 'ever', 'saw', 'probably', 'beaten', 'only', 'Alien', 'Carpenter', 'Thing', 'few', 'others.Acting', 'superb', 'two', 'sisters', 'young', 'are', 'are', 'incredibly', 'believable', 'roles', 'performance', 'Yeom', 'Jeong-ah', 'who', 'evil', 'stepmother', 'incredible', 'as', 'well', 'director', 'screenwriter', 'humble', 'opinion', 'genius', 'not', 'movie', 'want', 'rent', 'videocassette', 'cinematography', 'SUPERB', 'NEED', 'watch', 'movie', 'good', 'screen', 'lights', 'Not', 'movie', 'scary', 'light', 'color', 'are', 'used', 'masterfully', 'do', 'not', 'want', 'miss', 'detail.One', 'astonishing', 'aspect', 'masterpiece', 'use', 'color', 'few', 'rare', 'green', 'exceptions', 'blue', 'red', 'are', 'vastly', 'dominant', 'colors', 'colors', 'indeed', 'seem', 'be', 'one', 'major', 'characters', 'story.Last', 'not', 'least', 'many', 'other', 'reviewers', 'have', 'pointed', 'out', 'not', 'typical', 'horror', 'movie', 'ghosts', 'monsters', 'as', 'much', 'ghosts', 'way', 'human', 'mind', 'copes', 'inconceivable', 'tragedies', 'Indeed', 'different', 'viewers', 'will', 'probably', 'disagree', 'true', 'meaning', 'conclusion', 'movie', 'be', 'studied', 'Highly', 'highly', 'recommended']",N/A
882742,A185GC0QZSO2KS,B0007M2374,"Amazon Customer ""I hate it when people stare ...","[1, 5]","I will keep this review brief (because I know I seldom read the long ones myself).A Tale of Two Sisters is an EXCELLENT movie.  When you say ""horror"" (even in relation to Asian movies) you have a particular set of expectations.  A Tale of Two Sisters almost doesnt fit the term ""horror movie"" for me, yet it is one of the creepiest movies I have seen for ages.If you wish to watch a movie with unexpected twists, great cinematography, and a serious sense of foreboding then watch this movie.",5,Creepy as hell,1161216000,"10 19, 2006",2006,491,"['will', 'keep', 'review', 'brief', 'know', 'seldom', 'read', 'long', 'ones', '.A', 'Tale', 'Two', 'Sisters', 'EXCELLENT', 'movie', 'When', 'say', 'horror', 'even', 'relation', 'Asian', 'movies', 'have', 'particular', 'set', 'expectations', 'Tale', 'Two', 'Sisters', 'almost', 'doesnt', 'fit', 'term', 'horror', 'movie', 'one', 'creepiest', 'movies', 'have', 'seen', 'ages.If', 'wish', 'watch', 'movie', 'unexpected', 'twists', 'great', 'cinematography', 'serious', 'sense', 'foreboding', 'then', 'watch', 'movie']",N/A
882743,A2M4R8R6SU049A,B0007M2374,"Amazon Customer ""too many books, too little time""","[2, 3]","Truly, the Koreans are making the best movies these days.  The Two Sisters is a horror film based on a traditional Korean folk tale.  In this story, you have what appears to be two girls returning from somewhere, perhaps a hospital, perhaps a joint nervous breakdown.  As they arrive home, it quickly becomes clear that their father is ineffectual and their step mother has a lot of anger issues.  But then things don't seem to be quite as they first appear.  Why does the step mother take medication, rather than the girls?  Why are people achingly distressed and uncomfortable at what must be the world's most frozen with discomfort dinner party.  It is so awful that one person literally has a seizure.To say anything more would give away too much.  This is a wonderful pschological thriller/horror that is just as good as anything being done these days.  One has to see it to appreciate it.",5,Very very well done!,1124150400,"08 16, 2005",2005,894,"['Truly', 'Koreans', 'are', 'making', 'best', 'movies', 'days', 'Two', 'Sisters', 'horror', 'film', 'based', 'traditional', 'Korean', 'folk', 'tale', 'story', 'have', 'what', 'be', 'two', 'girls', 'returning', 'somewhere', 'perhaps', 'hospital', 'perhaps', 'joint', 'nervous', 'breakdown', 'arrive', 'home', 'quickly', 'clear', 'father', 'ineffectual', 'step', 'mother', 'lot', 'anger', 'issues', 'then', 'things', 'do', ""n't"", 'seem', 'be', 'quite', 'first', 'appear', 'Why', 'step', 'mother', 'take', 'medication', 'rather', 'girls', 'Why', 'are', 'people', 'achingly', 'distressed', 'uncomfortable', 'what', 'must', 'be', 'world', 'most', 'frozen', 'discomfort', 'dinner', 'party', 'so', 'awful', 'one', 'person', 'literally', 'seizure.To', 'say', 'anything', 'more', 'would', 'give', 'away', 'too', 'much', 'wonderful', 'pschological', 'thriller/horror', 'just', 'as', 'good', 'anything', 'being', 'done', 'days', 'One', 'see', 'appreciate']",N/A
882744,A1WTNW0CEE7WPX,B0007M2374,amedusa50x,"[25, 47]","Overrated, overhyped, overlong, overslow, and not at all among the best Korean films right now. There are so many paths that lead nowhere in this film, so many pointless ""atmospheric"" interior shots, so much intentionally and needlessly vague dialog, so many interminable closeups of wide-eyed faces, so much choppy editing and pompous plot meandering, and such a piss-poor ""punchline"" that after squirming through almost 2 hours of this film I felt cheated and annoyed.A weak screenplay is still a weak screenplay no matter how much good acting, gimmicky camera work, and spooky music you throw at it. I don't need or want all the ""answers"" spoon-fed to me during a ghost story, but there's a huge difference between 1) using legitimate plot elements to build suspense carefully toward a solid climax or conclusion and 2) dumping a ton of red herrings on an audience and then expecting that audience to concoct its own conclusion with little or no help from the plot.""A Tale of Two Sisters"" ultimately cops out into number 2, which is too bad because it could have been a superb film had the screenplay been better and the director less self-indulgent. Lately, I've found Korean films in virtually all genres to be for the most part superb, but ""A Tale of Two Sisters"" is a huge let-down.",2,Red herrings dragged at the pace of a snail,1144022400,"04 3, 2006",2006,1289,"['Overrated', 'overhyped', 'overlong', 'overslow', 'not', 'best', 'Korean', 'films', 'right', 'now', 'are', 'so', 'many', 'paths', 'lead', 'nowhere', 'film', 'so', 'many', 'pointless', 'atmospheric', 'interior', 'shots', 'so', 'much', 'intentionally', 'needlessly', 'vague', 'dialog', 'so', 'many', 'interminable', 'closeups', 'wide-eyed', 'so', 'much', 'choppy', 'editing', 'pompous', 'plot', 'meandering', 'piss-poor', 'punchline', 'squirming', 'almost', '2', 'hours', 'film', 'felt', 'cheated', 'annoyed.A', 'weak', 'screenplay', 'still', 'weak', 'screenplay', 'matter', 'how', 'much', 'good', 'acting', 'gimmicky', 'camera', 'work', 'spooky', 'music', 'throw', 'do', ""n't"", 'need', 'want', 'answers', 'spoon-fed', 'ghost', 'story', 'huge', 'difference', '1', 'using', 'legitimate', 'plot', 'elements', 'build', 'suspense', 'carefully', 'solid', 'climax', 'conclusion', '2', 'dumping', 'ton', 'red', 'herrings', 'audience', 'then', 'expecting', 'audience', 'concoct', 'own', 'conclusion', 'little', 'help', 'plot', 'Tale', 'Two', 'Sisters', 'ultimately', 'out', 'number', '2', 'too', 'bad', 'could', 'have', 'been', 'superb', 'film', 'had', 'screenplay', 'been', 'better', 'director', 'less', 'self-indulgent', 'Lately', ""'ve"", 'found', 'Korean', 'films', 'virtually', 'genres', 'be', 'most', 'part', 'superb', 'Tale', 'Two', 'Sisters', 'huge', 'let-down']",N/A
882745,A2GANR9I6XHTU9,B0007M2374,Amy Lynn,"[1, 2]","Atmospheric and interesting horror movie about 2 sisters who go to their fathers house after the death of their birth mother. One of them has just been released from the hospital. The sisters arrive at the house and all seems fine..Soon after strange things start happening in the house. The stepmother is becoming a problem and the father is rarely around and oblivious to all the weird occurences that are taking place. Strange apparitions start appearing and one sister starts being plagued by nightmares. The family starts seeing kids under the kitchen sink, guests freaking out at dinner and creatures behind curtains.This movie shares some similar themes to other Japanese/Korean horror movies but I found it to be a lot better than the majority that's out there. This movie is not what it seems. It a type of movie that makes you think and it has a decent amount of suspense.Stylish, Nice scenery and musical score, also loved the way it was directed. Recommended.",4,Korean Horror,1207267200,"04 4, 2008",2008,971,"['Atmospheric', 'interesting', 'horror', 'movie', '2', 'sisters', 'who', 'go', 'fathers', 'house', 'death', 'birth', 'mother', 'One', 'just', 'been', 'released', 'hospital', 'sisters', 'arrive', 'house', 'fine..Soon', 'strange', 'things', 'start', 'happening', 'house', 'stepmother', 'becoming', 'problem', 'father', 'rarely', 'oblivious', 'weird', 'occurences', 'are', 'taking', 'place', 'Strange', 'apparitions', 'start', 'appearing', 'one', 'sister', 'being', 'plagued', 'nightmares', 'family', 'seeing', 'kids', 'kitchen', 'sink', 'guests', 'freaking', 'out', 'dinner', 'creatures', 'curtains.This', 'movie', 'shares', 'similar', 'themes', 'other', 'Japanese/Korean', 'horror', 'movies', 'found', 'be', 'lot', 'better', 'majority', 'out', 'there', 'movie', 'not', 'what', 'type', 'movie', 'think', 'decent', 'amount', 'suspense.Stylish', 'Nice', 'scenery', 'musical', 'score', 'also', 'loved', 'way', 'was', 'directed', 'Recommended']",N/A
882746,A2KX9JO38OXLX,B0007M2374,Anne Carandini,"[1, 3]","The story is wicked good but I can only give three stars for the aggravation the subtitles gave me. I usually don't mind subtitles, but Asian subtitles seem....odd..and difficult to follow.  It's not (for me personally) as easy as following subtitles in a Latin based language.",3,Excellent Story,1378598400,"09 8, 2013",2013,277,"['story', 'wicked', 'good', 'can', 'only', 'give', 'three', 'stars', 'aggravation', 'subtitles', 'gave', 'usually', 'do', ""n't"", 'mind', 'subtitles', 'Asian', 'subtitles', 'seem', '.odd..and', 'difficult', 'follow', 'not', 'personally', 'as', 'easy', 'following', 'subtitles', 'Latin', 'based', 'language']",N/A
